ELD File Header Segment:
RAJ,RAJPAL,DUS456H,CA,567hghg,65
,,,96
015,1XKYDP9X5NJ234589,NA,8D
0001,All Star Elogs Inc,7,000000,04,8E
NA,0,EF
052826,105502,0,0,0,0.0,B7
TEST,AS1955,4AF96C6EC79D88AADF28,Test flag Y,13
User List:
1,D,RAJ,RAJPAL,71
CMV List:
1,015,1XKYDP9X5NJ234589,3F
ELD Event List:
23,1,052926,115009,267495,6670.1,36.547241,-119.698306,015,1XKYDP9X5NJ234589,NA,NA,94
2B,3,052926,141558,267603,6672.5,35.239106,-119.038523,015,1XKYDP9X5NJ234589,NA,NA,D4
2C,1,052926,154939,267603,6672.5,35.239108,-119.038538,015,1XKYDP9X5NJ234589,NA,NA,24
30,3,052926,162639,267603,6673.1,35.237119,-119.037293,015,1XKYDP9X5NJ234589,NA,NA,77
32,1,052926,165306,267603,6673.3,35.237607,-119.037327,015,1XKYDP9X5NJ234589,NA,NA,57
36,3,052926,191010,267710,6675.6,36.547264,-119.698341,015,1XKYDP9X5NJ234589,NA,NA,A4
3A,1,053026,041714,267710,6675.8,36.547291,-119.698315,015,1XKYDP9X5NJ234589,NA,NA,EC
3F,3,053026,051944,267726,6676.8,36.724029,-119.773233,015,1XKYDP9X5NJ234589,NA,NA,5C
40,1,053026,055325,267726,6676.8,36.724067,-119.773267,015,1XKYDP9X5NJ234589,NA,NA,D4
43,3,053026,062805,267742,6677.4,36.54725,-119.698318,015,1XKYDP9X5NJ234589,NA,NA,DC
44,1,053026,071625,267742,6677.4,36.547228,-119.69832,015,1XKYDP9X5NJ234589,NA,NA,A4
4C,3,053026,095540,267851,6680.1,35.345905,-118.863369,015,1XKYDP9X5NJ234589,NA,NA,34
4D,1,053026,104525,267851,6680.1,35.345937,-118.863396,015,1XKYDP9X5NJ234589,NA,NA,04
52,3,053026,130004,267958,6682.3,36.547255,-119.698298,015,1XKYDP9X5NJ234589,NA,NA,F4
56,1,053126,023554,267958,6682.3,36.547219,-119.698327,015,1XKYDP9X5NJ234589,NA,NA,0C
5D,3,053126,052102,268053,6685.1,36.724222,-119.773237,015,1XKYDP9X5NJ234589,NA,NA,6F
5E,1,053126,061752,268053,6685.1,36.724217,-119.773245,015,1XKYDP9X5NJ234589,NA,NA,F4
61,3,053126,065312,268070,6685.7,36.547251,-119.698291,015,1XKYDP9X5NJ234589,NA,NA,B4
65,1,060126,090032,268070,6685.6,36.547199,-119.698302,015,1XKYDP9X5NJ234589,NA,NA,B4
6C,3,060126,114642,268178,6688.4,35.239126,-119.038364,015,1XKYDP9X5NJ234589,NA,NA,1C
6D,1,060126,120255,268178,6688.4,35.239115,-119.038376,015,1XKYDP9X5NJ234589,NA,NA,E4
74,3,060126,153544,268285,6692.9,36.547226,-119.698307,015,1XKYDP9X5NJ234589,NA,NA,0C
78,1,060326,081215,268285,6692.9,36.54726,-119.698318,015,1XKYDP9X5NJ234589,NA,NA,04
7C,3,060326,092046,268300,6693.9,36.724111,-119.773254,015,1XKYDP9X5NJ234589,NA,NA,DC
7D,1,060326,094159,268300,6693.9,36.724139,-119.77324,015,1XKYDP9X5NJ234589,NA,NA,34
80,3,060326,101839,268317,6694.5,36.547236,-119.698295,015,1XKYDP9X5NJ234589,NA,NA,0C
81,1,060326,102405,268317,6694.5,36.54723,-119.698288,015,1XKYDP9X5NJ234589,NA,NA,B4
84,3,060326,111639,268333,6695.4,36.662925,-119.591041,015,1XKYDP9X5NJ234589,NA,NA,B4
85,1,060326,121556,268333,6695.4,36.662938,-119.591004,015,1XKYDP9X5NJ234589,NA,NA,BC
8A,3,060326,142756,268411,6698.6,35.775201,-119.129958,015,1XKYDP9X5NJ234589,NA,NA,74
8B,1,060326,151642,268411,6698.6,35.775193,-119.129962,015,1XKYDP9X5NJ234589,NA,NA,44
92,3,060326,190734,268523,6702.6,36.547239,-119.698333,015,1XKYDP9X5NJ234589,NA,NA,C4
Unidentified Driver Profile Records:
5,1,1,1,3,052826,112300,0,0.0,0.0,0.0,0,1,1,00,CF
33,1,1,1,3,052926,165407,0,0.0,35.237607,-119.037327,0,1,1,00,6D
34,1,1,1,3,052926,175408,35,1.0,35.653814,-119.221313,0,1,1,00,8A
35,1,1,1,3,052926,185408,92,2.0,36.450839,-119.489405,0,1,1,00,62
End of File:
34EB
